imdb_title_id,adjusted_budget
tt0043778,408125.03846153844
tt0042526,11676357.807692306
tt0043255,6241326.807692307
tt0043262,49771346.153846145
tt0043264,3483994.2307692305
tt0043265,9954269.23076923
tt0043274,29862807.69230769
tt0043278,27114463.820499998
tt0043317,4369924.192307692
tt0043338,17917684.615384612
tt0043782,8779665.46153846
tt0043371,10979558.96153846
tt0043390,6320960.961538461
tt0043456,11945123.076923076
tt0043482,2986280.769230769
tt0043503,11039284.576923076
tt0043370,18913111.538461536
tt0043526,9366967.346153844
tt0043514,17808187.653846152
tt0043744,11029330.307692306
tt0043743,11576815.115384614
tt0043728,11875443.19230769
tt0043680,10083674.73076923
tt0043643,8461128.846153846
tt0043633,21073187.96153846
tt0043747,1830082.443807692
tt0043595,13060001.23076923
tt0043590,13308857.96153846
tt0043539,746570.1923076923
tt0043596,1529095.205076923
tt0044060,835101.0003757523
tt0044192,4552656.321599483
tt0045009,1953290.5660377357
tt0044997,21300633.622641508
tt0044954,1836093.1320754713
tt0044938,9239064.377358489
tt0044937,11719743.396226414
tt0044926,14649679.245283017
tt0044919,6348194.339622641
tt0044851,6563056.301886791
tt0044847,2441613.2075471696
tt0044781,5342249.698113207
tt0044762,6670487.2830188675
tt0044778,1220806.6037735848
tt0044760,37522711.7735849
tt0044855,27473031.811320752
tt0045039,31106152.26415094
tt0045324,12823352.566037735
tt0045064,1813649.823471698
tt0044751,9961781.886792451
tt0045352,1722382.3217735847
tt0045347,11719743.396226414
tt0045345,3730784.981132075
tt0045329,12520592.528301885
tt0045316,21867087.88679245
tt0045312,13858596.566037733
tt0045296,17579615.09433962
tt0045216,4697663.811320754
tt0045205,7031846.037735848
tt0045152,24814603.350943394
tt0045135,5820805.886792452
tt0045125,34182584.905660376
tt0045109,5127387.735849055
tt0045070,8789807.54716981
tt0045053,16681101.433962261
tt0044750,1240339.5094339622
tt0044725,8526113.320754716
tt0044418,8067090.037735848
tt0044408,25031418.603773583
tt0044406,488322.6415094339
tt0044398,1953290.5660377357
tt0044391,15216133.50943396
tt0044369,3730784.981132075
tt0044355,12208066.037735848
tt0044324,13643734.603773583
tt0044320,4394903.773584905
tt0044027,7686198.37735849
tt0043751,15626324.528301885
tt0044735,5031031.912226414
tt0044331,11719743.396226414
tt0044419,19532905.660377357
tt0044480,10850529.09433962
tt0044715,7490869.320754716
tt0044706,7129510.566037735
tt0044685,39065811.320754714
tt0044672,39065811.320754714
tt0044665,9483225.698113207
tt0044663,10625900.679245282
tt0044462,3154564.264150943
tt0044608,8350317.16981132
tt0044543,5078555.471698113
tt0044540,966878.8301886792
